METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      10.00      10.00      10.00      10.00      10.00
        1       3.00       8.80      12.30      15.80      26.00
        2       3.00       9.08      13.92      18.77      36.00
        3       1.00       9.64      14.97      20.30      34.00
        4       1.00      10.18      15.77      21.35      32.00
        5       0.00      10.65      16.26      21.87      37.00
        6       0.00      10.95      16.67      22.39      38.00
        7       0.00      11.02      16.87      22.72      34.00
        8       0.00      11.32      16.94      22.55      34.00
        9       0.00       7.91      11.97      16.03      28.00
       10       0.00       5.34       8.57      11.80      22.00
       11       0.00       4.35       7.38      10.41      21.00
       12       0.00       3.73       6.89      10.04      17.00
       13       0.00       3.11       6.40       9.70      18.00
       14       0.00       2.70       6.22       9.74      19.00
       15       0.00       2.48       5.86       9.24      17.00
       16       0.00       2.16       5.72       9.29      18.00
       17       0.00       2.10       5.53       8.95      19.00
       18       0.00       1.93       5.41       8.88      16.00
       19       0.00       1.72       5.22       8.72      19.00
       20       0.00       1.53       5.22       8.92      18.00
       21       0.00       1.42       5.03       8.64      16.00
       22       0.00       1.07       4.84       8.62      19.00
       23       0.00       0.98       4.68       8.38      19.00
       24       0.00       0.90       4.69       8.48      19.00
       25       0.00       0.74       4.46       8.17      18.00
       26       0.00       0.66       4.44       8.22      19.00
       27       0.00       0.56       4.39       8.22      18.00
       28       0.00       0.55       4.37       8.19      16.00
       29       0.00       0.43       4.33       8.24      18.00
       30       0.00       0.37       4.32       8.27      17.00
       31       0.00       0.31       4.17       8.02      16.00
       32       0.00       0.14       4.00       7.86      16.00
       33       0.00       0.03       3.81       7.58      20.00
       34       0.00      -0.09       3.76       7.61      18.00
       35       0.00      -0.21       3.64       7.50      16.00
       36       0.00      -0.30       3.57       7.43      16.00
       37       0.00      -0.40       3.51       7.42      18.00
       38       0.00      -0.45       3.41       7.27      19.00
       39       0.00      -0.49       3.29       7.07      16.00
       40       0.00      -0.56       3.18       6.91      16.00
       41       0.00      -0.59       3.05       6.68      16.00
       42       0.00      -0.69       3.02       6.72      17.00
       43       0.00      -0.77       2.86       6.49      17.00
       44       0.00      -0.80       2.75       6.30      16.00
       45       0.00      -0.92       2.72       6.36      19.00
       46       0.00      -0.95       2.71       6.38      15.00
       47       0.00      -1.04       2.74       6.51      16.00
       48       0.00      -1.10       2.62       6.34      17.00
       49       0.00      -1.06       2.51       6.09      17.00
       50       0.00      -1.13       2.46       6.05      18.00
       51       0.00      -1.12       2.35       5.82      19.00
       52       0.00      -1.19       2.29       5.78      16.00
       53       0.00      -1.19       2.33       5.85      16.00
       54       0.00      -1.29       2.23       5.75      18.00
       55       0.00      -1.22       2.16       5.54      17.00
       56       0.00      -1.36       2.18       5.72      17.00
       57       0.00      -1.35       2.19       5.73      17.00
       58       0.00      -1.45       2.26       5.97      18.00
       59       0.00      -1.37       2.15       5.67      16.00
       60       0.00      -1.40       2.01       5.43      18.00
       61       0.00      -1.42       1.98       5.37      19.00
       62       0.00      -1.33       1.90       5.13      15.00
       63       0.00      -1.38       1.88       5.14      16.00
       64       0.00      -1.47       1.83       5.13      16.00
       65       0.00      -1.43       1.74       4.92      15.00
       66       0.00      -1.44       1.70       4.85      16.00
       67       0.00      -1.45       1.65       4.75      16.00
       68       0.00      -1.46       1.61       4.67      18.00
       69       0.00      -1.41       1.60       4.61      15.00
       70       0.00      -1.49       1.65       4.79      16.00
       71       0.00      -1.47       1.59       4.64      15.00
       72       0.00      -1.51       1.55       4.60      17.00
       73       0.00      -1.44       1.45       4.33      15.00
       74       0.00      -1.46       1.43       4.33      18.00
       75       0.00      -1.45       1.42       4.29      16.00
       76       0.00      -1.52       1.40       4.31      15.00
       77       0.00      -1.45       1.35       4.15      14.00
       78       0.00      -1.61       1.39       4.39      18.00
       79       0.00      -1.58       1.37       4.32      20.00
       80       0.00      -1.51       1.30       4.12      14.00
       81       0.00      -1.63       1.35       4.33      16.00
       82       0.00      -1.55       1.27       4.10      16.00
       83       0.00      -1.59       1.29       4.16      15.00
       84       0.00      -1.60       1.25       4.11      16.00
       85       0.00      -1.55       1.20       3.95      14.00
       86       0.00      -1.58       1.17       3.91      15.00
       87       0.00      -1.53       1.12       3.76      16.00
       88       0.00      -1.60       1.14       3.89      18.00
       89       0.00      -1.63       1.16       3.95      17.00
       90       0.00      -1.47       1.05       3.58      14.00
       91       0.00      -1.49       1.03       3.56      15.00
       92       0.00      -1.60       1.03       3.66      16.00
       93       0.00      -1.58       0.99       3.57      15.00
       94       0.00      -1.70       1.02       3.75      16.00
       95       0.00      -1.69       1.01       3.71      16.00
       96       0.00      -1.72       1.02       3.76      15.00
       97       0.00      -1.64       0.97       3.58      15.00
       98       0.00      -1.62       0.94       3.50      15.00
       99       0.00      -1.59       0.92       3.43      15.00
      100       0.00      -1.51       0.85       3.21      16.00

Trajectory summary (Population 4: Pop 4)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       2.00       2.00       2.00       2.00       2.00
        1       0.00       0.75       2.27       3.79      11.00
        2       0.00       0.36       2.21       4.05      11.00
        3       0.00       0.17       2.12       4.08      10.00
        4       0.00      -0.09       1.92       3.93      11.00
        5       0.00      -0.27       1.72       3.70      10.00
        6       0.00      -0.46       1.55       3.56       9.00
        7       0.00      -0.55       1.36       3.27       9.00
        8       0.00      -0.63       1.24       3.10       9.00
        9       0.00      -0.72       1.15       3.02      10.00
       10       0.00       0.00       0.00       0.00       0.00
       11       0.00       0.00       0.00       0.00       0.00
       12       0.00       0.00       0.00       0.00       0.00
       13       0.00       0.00       0.00       0.00       0.00
       14       0.00       0.00       0.00       0.00       0.00
       15       0.00       0.00       0.00       0.00       0.00
       16       0.00       0.00       0.00       0.00       0.00
       17       0.00       0.00       0.00       0.00       0.00
       18       0.00       0.00       0.00       0.00       0.00
       19       0.00       0.00       0.00       0.00       0.00
       20       0.00       0.00       0.00       0.00       0.00
       21       0.00       0.00       0.00       0.00       0.00
       22       0.00       0.00       0.00       0.00       0.00
       23       0.00       0.00       0.00       0.00       0.00
       24       0.00       0.00       0.00       0.00       0.00
       25       0.00       0.00       0.00       0.00       0.00
       26       0.00       0.00       0.00       0.00       0.00
       27       0.00       0.00       0.00       0.00       0.00
       28       0.00       0.00       0.00       0.00       0.00
       29       0.00       0.00       0.00       0.00       0.00
       30       0.00       0.00       0.00       0.00       0.00
       31       0.00       0.00       0.00       0.00       0.00
       32       0.00       0.00       0.00       0.00       0.00
       33       0.00       0.00       0.00       0.00       0.00
       34       0.00       0.00       0.00       0.00       0.00
       35       0.00       0.00       0.00       0.00       0.00
       36       0.00       0.00       0.00       0.00       0.00
       37       0.00       0.00       0.00       0.00       0.00
       38       0.00       0.00       0.00       0.00       0.00
       39       0.00       0.00       0.00       0.00       0.00
       40       0.00       0.00       0.00       0.00       0.00
       41       0.00       0.00       0.00       0.00       0.00
       42       0.00       0.00       0.00       0.00       0.00
       43       0.00       0.00       0.00       0.00       0.00
       44       0.00       0.00       0.00       0.00       0.00
       45       0.00       0.00       0.00       0.00       0.00
       46       0.00       0.00       0.00       0.00       0.00
       47       0.00       0.00       0.00       0.00       0.00
       48       0.00       0.00       0.00       0.00       0.00
       49       0.00       0.00       0.00       0.00       0.00
       50       0.00       0.00       0.00       0.00       0.00
       51       0.00       0.00       0.00       0.00       0.00
       52       0.00       0.00       0.00       0.00       0.00
       53       0.00       0.00       0.00       0.00       0.00
       54       0.00       0.00       0.00       0.00       0.00
       55       0.00       0.00       0.00       0.00       0.00
       56       0.00       0.00       0.00       0.00       0.00
       57       0.00       0.00       0.00       0.00       0.00
       58       0.00       0.00       0.00       0.00       0.00
       59       0.00       0.00       0.00       0.00       0.00
       60       0.00       0.00       0.00       0.00       0.00
       61       0.00       0.00       0.00       0.00       0.00
       62       0.00       0.00       0.00       0.00       0.00
       63       0.00       0.00       0.00       0.00       0.00
       64       0.00       0.00       0.00       0.00       0.00
       65       0.00       0.00       0.00       0.00       0.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
       73       0.00       0.00       0.00       0.00       0.00
       74       0.00       0.00       0.00       0.00       0.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 5: Pop 5)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       3.00       3.00       3.00       3.00       3.00
        1       0.00       1.85       3.75       5.65      12.00
        2       0.00       1.59       4.19       6.79      14.00
        3       0.00       1.45       4.57       7.70      15.00
        4       0.00       1.45       4.82       8.20      18.00
        5       0.00       1.39       4.85       8.31      19.00
        6       0.00       1.13       4.74       8.35      18.00
        7       0.00       1.02       4.71       8.41      19.00
        8       0.00       0.92       4.65       8.39      21.00
        9       0.00       0.90       4.71       8.53      19.00
       10       0.00       0.76       4.54       8.31      16.00
