METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 3: Pop 3)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      15.00      15.00      15.00      15.00      15.00
        1       0.00       0.59       1.02       1.46       3.00
        2       0.00       0.06       0.61       1.17       2.00
        3       0.00      -0.14       0.37       0.89       2.00
        4       0.00      -0.20       0.23       0.65       2.00
        5       0.00      -0.22       0.17       0.56       2.00
        6       0.00      -0.21       0.13       0.47       2.00
        7       0.00      -0.19       0.09       0.37       1.00
        8       0.00      -0.17       0.05       0.28       2.00
        9       0.00      -0.15       0.03       0.22       1.00
       10       0.00      -0.14       0.03       0.20       1.00
       11       0.00      -0.12       0.02       0.16       1.00
       12       0.00      -0.12       0.02       0.15       1.00
       13       0.00      -0.10       0.01       0.13       1.00
       14       0.00      -0.09       0.01       0.11       1.00
       15       0.00      -0.09       0.01       0.10       1.00
       16       0.00      -0.08       0.01       0.09       1.00
       17       0.00      -0.09       0.01       0.11       1.00
       18       0.00      -0.08       0.01       0.09       1.00
       19       0.00      -0.06       0.00       0.07       1.00
       20       0.00      -0.04       0.00       0.05       1.00
       21       0.00      -0.03       0.00       0.03       1.00
       22       0.00      -0.03       0.00       0.03       1.00
       23       0.00      -0.05       0.00       0.06       1.00
       24       0.00      -0.04       0.00       0.05       1.00
       25       0.00      -0.04       0.00       0.05       1.00
       26       0.00      -0.06       0.00       0.07       1.00
       27       0.00      -0.05       0.00       0.06       1.00
       28       0.00      -0.04       0.00       0.05       1.00
       29       0.00      -0.04       0.00       0.05       1.00
       30       0.00      -0.03       0.00       0.03       1.00
       31       0.00      -0.03       0.00       0.03       1.00
       32       0.00      -0.04       0.00       0.05       1.00
       33       0.00      -0.03       0.00       0.03       1.00
       34       0.00      -0.03       0.00       0.03       1.00
       35       0.00       0.00       0.00       0.00       0.00
       36       0.00       0.00       0.00       0.00       0.00
       37       0.00       0.00       0.00       0.00       0.00
       38       0.00       0.00       0.00       0.00       0.00
       39       0.00       0.00       0.00       0.00       0.00
       40       0.00       0.00       0.00       0.00       0.00
       41       0.00       0.00       0.00       0.00       0.00
       42       0.00       0.00       0.00       0.00       0.00
       43       0.00       0.00       0.00       0.00       0.00
       44       0.00       0.00       0.00       0.00       0.00
       45       0.00       0.00       0.00       0.00       0.00
       46       0.00       0.00       0.00       0.00       0.00
       47       0.00       0.00       0.00       0.00       0.00
       48       0.00       0.00       0.00       0.00       0.00
       49       0.00       0.00       0.00       0.00       0.00
       50       0.00       0.00       0.00       0.00       0.00
       51       0.00       0.00       0.00       0.00       0.00
       52       0.00       0.00       0.00       0.00       0.00
       53       0.00       0.00       0.00       0.00       0.00
       54       0.00       0.00       0.00       0.00       0.00
       55       0.00       0.00       0.00       0.00       0.00
       56       0.00       0.00       0.00       0.00       0.00
       57       0.00       0.00       0.00       0.00       0.00
       58       0.00       0.00       0.00       0.00       0.00
       59       0.00       0.00       0.00       0.00       0.00
       60       0.00       0.00       0.00       0.00       0.00
       61       0.00       0.00       0.00       0.00       0.00
       62       0.00       0.00       0.00       0.00       0.00
       63       0.00       0.00       0.00       0.00       0.00
       64       0.00       0.00       0.00       0.00       0.00
       65       0.00       0.00       0.00       0.00       0.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
       73       0.00       0.00       0.00       0.00       0.00
       74       0.00       0.00       0.00       0.00       0.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 4: Pop 4)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      15.00      15.00      15.00      15.00      15.00
        1       0.00       0.56       1.54       2.53       5.00
        2       0.00       0.21       1.06       1.91       5.00
        3       0.00       0.00       0.84       1.67       5.00
        4       0.00      -0.09       0.68       1.44       4.00
        5       0.00      -0.19       0.58       1.35       5.00
        6       0.00      -0.19       0.48       1.15       3.00
        7       0.00      -0.22       0.42       1.05       4.00
        8       0.00      -0.23       0.34       0.91       3.00
        9       0.00      -0.25       0.29       0.83       3.00
       10       0.00      -0.22       0.22       0.67       3.00
       11       0.00      -0.26       0.22       0.70       3.00
       12       0.00      -0.28       0.20       0.68       3.00
       13       0.00      -0.27       0.17       0.62       3.00
       14       0.00      -0.24       0.14       0.52       3.00
       15       0.00      -0.23       0.11       0.45       2.00
       16       0.00      -0.22       0.09       0.41       3.00
       17       0.00      -0.23       0.09       0.40       3.00
       18       0.00      -0.21       0.07       0.36       2.00
       19       0.00      -0.20       0.07       0.33       2.00
       20       0.00      -0.18       0.05       0.28       2.00
       21       0.00      -0.18       0.04       0.26       2.00
       22       0.00      -0.13       0.02       0.18       2.00
       23       0.00      -0.15       0.03       0.20       2.00
       24       0.00      -0.16       0.03       0.21       2.00
       25       0.00      -0.15       0.02       0.20       2.00
       26       0.00      -0.11       0.02       0.15       1.00
       27       0.00      -0.13       0.02       0.16       2.00
       28       0.00      -0.10       0.01       0.12       1.00
       29       0.00      -0.14       0.02       0.18       2.00
       30       0.00      -0.09       0.01       0.10       1.00
       31       0.00      -0.07       0.00       0.08       1.00
       32       0.00      -0.08       0.01       0.10       2.00
       33       0.00      -0.09       0.01       0.10       2.00
       34       0.00      -0.05       0.00       0.06       1.00
       35       0.00      -0.06       0.00       0.07       2.00
       36       0.00      -0.04       0.00       0.05       1.00
       37       0.00      -0.05       0.00       0.06       1.00
       38       0.00      -0.05       0.00       0.06       1.00
       39       0.00      -0.07       0.00       0.08       2.00
       40       0.00      -0.04       0.00       0.05       1.00
       41       0.00      -0.06       0.00       0.07       2.00
       42       0.00       0.00       0.00       0.00       0.00
       43       0.00       0.00       0.00       0.00       0.00
       44       0.00      -0.03       0.00       0.03       1.00
       45       0.00      -0.03       0.00       0.03       1.00
       46       0.00      -0.03       0.00       0.03       1.00
       47       0.00      -0.03       0.00       0.03       1.00
       48       0.00       0.00       0.00       0.00       0.00
       49       0.00       0.00       0.00       0.00       0.00
       50       0.00       0.00       0.00       0.00       0.00
       51       0.00       0.00       0.00       0.00       0.00
       52       0.00       0.00       0.00       0.00       0.00
       53       0.00       0.00       0.00       0.00       0.00
       54       0.00       0.00       0.00       0.00       0.00
       55       0.00       0.00       0.00       0.00       0.00
       56       0.00       0.00       0.00       0.00       0.00
       57       0.00       0.00       0.00       0.00       0.00
       58       0.00       0.00       0.00       0.00       0.00
       59       0.00       0.00       0.00       0.00       0.00
       60       0.00       0.00       0.00       0.00       0.00
       61       0.00       0.00       0.00       0.00       0.00
       62       0.00       0.00       0.00       0.00       0.00
       63       0.00       0.00       0.00       0.00       0.00
       64       0.00       0.00       0.00       0.00       0.00
       65       0.00       0.00       0.00       0.00       0.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
       73       0.00       0.00       0.00       0.00       0.00
       74       0.00       0.00       0.00       0.00       0.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 5: Pop 5)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      15.00      15.00      15.00      15.00      15.00
        1       1.00       1.92       2.00       2.09       3.00
        2       0.00       0.79       1.50       2.20       3.00
        3       0.00       0.30       1.15       2.00       3.00
        4       0.00      -0.01       0.86       1.74       3.00
        5       0.00      -0.20       0.65       1.50       3.00
        6       0.00      -0.29       0.51       1.31       2.00
        7       0.00      -0.34       0.41       1.15       2.00
        8       0.00      -0.35       0.32       1.00       2.00
        9       0.00      -0.37       0.27       0.91       2.00
       10       0.00      -0.37       0.22       0.80       2.00
       11       0.00      -0.34       0.16       0.67       2.00
       12       0.00      -0.33       0.12       0.56       2.00
       13       0.00      -0.29       0.08       0.45       2.00
       14       0.00      -0.27       0.07       0.41       2.00
       15       0.00      -0.26       0.06       0.37       2.00
       16       0.00      -0.22       0.04       0.31       2.00
       17       0.00      -0.20       0.03       0.26       2.00
       18       0.00      -0.17       0.02       0.21       2.00
       19       0.00      -0.15       0.02       0.18       2.00
       20       0.00      -0.10       0.01       0.12       2.00
       21       0.00      -0.08       0.00       0.09       2.00
       22       0.00      -0.07       0.00       0.08       2.00
       23       0.00       0.00       0.00       0.00       0.00
       24       0.00       0.00       0.00       0.00       0.00
       25       0.00       0.00       0.00       0.00       0.00
       26       0.00       0.00       0.00       0.00       0.00
       27       0.00       0.00       0.00       0.00       0.00
       28       0.00       0.00       0.00       0.00       0.00
       29       0.00       0.00       0.00       0.00       0.00
       30       0.00       0.00       0.00       0.00       0.00
       31       0.00       0.00       0.00       0.00       0.00
       32       0.00       0.00       0.00       0.00       0.00
