METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       30       0.00       8.67      14.15      19.63      33.00
       31       0.00       8.73      14.30      19.86      32.00
       32       0.00       8.80      14.40      19.99      32.00
       33       0.00       8.82      14.32      19.82      31.00
       34       0.00       8.91      14.38      19.84      30.00
       35       0.00       8.58      14.22      19.85      30.00
       36       0.00       8.43      14.06      19.70      29.00
       37       0.00       8.44      13.97      19.49      30.00
       38       0.00       8.27      13.90      19.53      32.00
       39       0.00       8.26      14.02      19.78      37.00
       40       0.00       8.25      13.77      19.30      29.00
       41       0.00       8.26      14.02      19.78      33.00
       42       0.00       8.09      13.89      19.70      30.00
       43       0.00       8.31      14.07      19.83      33.00
       44       0.00       8.36      13.96      19.56      32.00
       45       0.00       8.24      13.93      19.62      33.00
       46       0.00       8.21      13.97      19.73      34.00
       47       0.00       8.18      13.96      19.74      32.00
       48       0.00       8.31      14.15      20.00      32.00
       49       0.00       8.18      14.00      19.82      37.00
       50       0.00       8.46      14.44      20.43      32.00
       51       0.00       8.54      14.28      20.03      31.00
       52       0.00       8.45      14.31      20.18      32.00
       53       0.00       8.24      14.06      19.89      33.00
       54       0.00       8.25      14.05      19.85      31.00
       55       0.00       8.37      14.18      19.99      31.00
       56       0.00       8.23      14.09      19.94      29.00
       57       0.00       8.26      14.24      20.22      31.00
       58       0.00       8.04      14.01      19.99      33.00
       59       0.00       7.81      13.86      19.92      32.00
       60       0.00       7.90      13.77      19.65      30.00
       61       0.00       7.99      13.85      19.71      32.00
       62       0.00       7.96      13.81      19.65      35.00
       63       0.00       7.85      13.73      19.62      34.00
       64       0.00       7.68      13.60      19.53      32.00
       65       0.00       7.77      13.81      19.84      33.00
       66       0.00       7.79      13.69      19.58      31.00
       67       0.00       8.01      14.02      20.03      33.00
       68       0.00       7.89      13.78      19.67      31.00
       69       0.00       7.70      13.70      19.70      31.00
       70       0.00       7.75      13.76      19.77      31.00
       71       0.00       7.54      13.57      19.60      34.00
       72       0.00       7.78      13.59      19.39      30.00
       73       0.00       7.63      13.65      19.67      32.00
       74       0.00       7.80      13.81      19.82      32.00
       75       0.00       7.56      13.72      19.87      36.00
       76       0.00       7.79      13.81      19.83      32.00
       77       0.00       7.60      13.81      20.02      35.00
       78       0.00       7.64      13.78      19.91      32.00
       79       0.00       7.37      13.59      19.82      31.00
       80       0.00       7.43      13.51      19.60      31.00
       81       0.00       7.40      13.51      19.62      30.00
       82       0.00       7.34      13.48      19.62      32.00
       83       0.00       7.15      13.36      19.58      31.00
       84       0.00       7.13      13.35      19.57      31.00
       85       0.00       7.01      13.36      19.71      32.00
       86       0.00       7.06      13.38      19.70      32.00
       87       0.00       7.14      13.46      19.78      34.00
       88       0.00       7.18      13.54      19.91      34.00
       89       0.00       7.09      13.32      19.55      32.00
       90       0.00       7.28      13.66      20.04      33.00
       91       0.00       7.46      13.69      19.92      31.00
       92       0.00       7.31      13.71      20.11      35.00
       93       0.00       7.29      13.68      20.07      33.00
       94       0.00       7.22      13.61      20.01      33.00
       95       0.00       7.27      13.65      20.03      31.00
       96       0.00       7.23      13.56      19.89      32.00
       97       0.00       7.15      13.58      20.01      33.00
       98       0.00       7.04      13.44      19.83      32.00
       99       0.00       6.93      13.37      19.81      30.00
      100       0.00       6.85      13.27      19.69      36.00

Trajectory summary (Population 4: Pop 4)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       2.00       2.00       2.00       2.00       2.00
        1       0.00       0.85       2.34       3.82       8.00
        2       0.00       0.47       2.28       4.08       9.00
        3       0.00       0.17       2.12       4.07       9.00
        4       0.00      -0.06       1.88       3.83      11.00
        5       0.00      -0.23       1.68       3.58       9.00
        6       0.00      -0.45       1.54       3.54      11.00
        7       0.00      -0.54       1.37       3.27       9.00
        8       0.00      -0.63       1.23       3.08      10.00
        9       0.00      -0.68       1.13       2.94       9.00
       10       0.00      -0.74       0.99       2.72      10.00
       11       0.00      -0.83       0.93       2.69      10.00
       12       0.00      -0.82       0.78       2.38      10.00
